"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"SL","2024-09-30","89.1","-2.3","5.48","Schwellenbach, Spencer",621438,680885,"double","hit_into_play",,,,,5,"Tyrone Taylor doubles (22) on a sharp line drive to center fielder Michael Harris II.","R","R","R","ATL","NYM","X",8,"line_drive",3,2,2024,"0.17","0.02","0.06","2.56",,,,0,8,"Top",87.32,53.1,,,,,5.50530773117794,-129.85021173326388,-1.2580354777681266,0.8883308721128135,24.66144957927562,-31.849388801861302,"3.38","1.63",373,"107.2",16,"90.6",2442,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.56",0.614,0.719,"1.25",1,1,1,5,56,11,"Slider",3,0,0,3,0,3,0,3,"Standard","Standard",82,"-0.053","0.551","71.4","7.1",1.101,"-0.551","107.2",3,-3,"0.935","0.065",24,30,24,30,3,2,6,1,,0,"2.82","-0.17","-0.17","34.5"
"CU","2024-09-30","83.5","-2.4","5.27","Schwellenbach, Spencer",621438,680885,,"foul",,,,,7,"Tyrone Taylor doubles (22) on a sharp line drive to center fielder Michael Harris II.","R","R","R","ATL","NYM","S",,,3,2,2024,"0.48","-0.72","-0.35","1.92",,,,0,8,"Top",,,,,,,3.8232735707965504,-121.70804387175497,0.07373273413902637,4.071944678746166,22.16561427141497,-39.53883777128121,"3.38","1.63",162,"93.1",11,"84.8",2389,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.64",,,,,,,,56,10,"Curveball",3,0,0,3,0,3,0,3,"Standard","Standard",46,"0","0","77.4","8.0",,"0","93.1",3,-3,"0.935","0.065",24,30,24,30,3,2,6,1,,0,"3.95","-0.48","-0.48","30.5"
"FC","2024-09-30","94.7","-2.42","5.62","Schwellenbach, Spencer",621438,680885,,"foul",,,,,4,"Tyrone Taylor doubles (22) on a sharp line drive to center fielder Michael Harris II.","R","R","R","ATL","NYM","S",,,3,2,2024,"0.05","0.93","-0.83","2.4",,,,0,8,"Top",,,,,,,4.06779053849765,-137.85363653834546,-4.88120736723662,-0.216698012648887,28.654948263134685,-19.468561431102927,"3.38","1.63",62,"100",2,"95.8",2231,"6.7",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.75",,,,,,,,56,9,"Cutter",3,0,0,3,0,3,0,3,"Standard","Standard",204,"0","0","71.5","7.5",,"0","100.0",3,-3,"0.935","0.065",24,30,24,30,3,2,6,1,,0,"1.6","-0.05","-0.05","33.0"
"FC","2024-09-30","94","-2.31","5.65","Schwellenbach, Spencer",621438,680885,,"foul",,,,,2,"Tyrone Taylor doubles (22) on a sharp line drive to center fielder Michael Harris II.","R","R","R","ATL","NYM","S",,,3,2,2024,"0.15","0.99","0.2","2.97",,,,0,8,"Top",,,,,,,6.270814741866469,-136.872040999123,-3.55364288305637,0.7170310639602246,25.183555175040382,-19.07501656475587,"3.38","1.63",195,"82",58,"95.8",2414,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.59",,,,,,,,56,8,"Cutter",3,0,0,3,0,3,0,3,"Standard","Standard",201,"0","0","68.0","6.9",,"0","88.0",3,-3,"0.935","0.065",24,30,24,30,3,2,6,1,,0,"1.55","-0.15","-0.15","35.6"
"FC","2024-09-30","94.4","-2.39","5.62","Schwellenbach, Spencer",621438,680885,,"ball",,,,,11,"Tyrone Taylor doubles (22) on a sharp line drive to center fielder Michael Harris II.","R","R","R","ATL","NYM","B",,,2,2,2024,"-0.04","0.86","-0.89","3.31",,,,0,8,"Top",,,,,,,4.039469779693971,-137.6175535301878,-2.3420778778445213,-1.334191710937456,26.745193331207016,-20.819702590478936,"3.38","1.58",,,,"96",2258,"6.8",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.68",,,,,,,,56,7,"Cutter",3,0,0,3,0,3,0,3,"Standard","Standard",202,"0","0.096",,,,"-0.096",,3,-3,"0.935","0.065",24,30,24,30,3,2,6,1,,0,"1.66","0.04","0.04","32.9"
"SL","2024-09-30","88.7","-2.34","5.51","Schwellenbach, Spencer",621438,680885,,"foul",,,,,5,"Tyrone Taylor doubles (22) on a sharp line drive to center fielder Michael Harris II.","R","R","R","ATL","NYM","S",,,2,2,2024,"0.16","0.04","-0.05","2.31",,,,0,8,"Top",,,,,,,5.343180256882414,-129.09822688370184,-1.8609259997258634,0.6264188670630453,27.71128587904048,-31.559374937218692,"3.38","1.63",5,"87.7",-26,"89.8",2414,"7",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.49",,,,,,,,56,6,"Slider",3,0,0,3,0,3,0,3,"Standard","Standard",68,"0","0","72.9","8.1",,"0","88.0",3,-3,"0.935","0.065",24,30,24,30,3,2,6,1,,0,"2.86","-0.16","-0.16","34.3"
"FC","2024-09-30","94.2","-2.48","5.56","Schwellenbach, Spencer",621438,680885,,"foul",,,,,5,"Tyrone Taylor doubles (22) on a sharp line drive to center fielder Michael Harris II.","R","R","R","ATL","NYM","S",,,2,2,2024,"0.04","0.87","-0.14","2.7",,,,0,8,"Top",,,,,,,6.031906113508227,-137.12410676882544,-3.7410350763519786,-0.6684322874847446,27.75966645113951,-20.589267729288142,"3.38","1.63",8,"85.4",-18,"95.4",2331,"6.8",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.73",,,,,,,,56,5,"Cutter",3,0,0,3,0,3,0,3,"Standard","Standard",201,"0","0","71.4","8.0",,"0","88.0",3,-3,"0.935","0.065",24,30,24,30,3,2,6,1,,0,"1.68","-0.04","-0.04","32.7"
"CU","2024-09-30","84.2","-2.41","5.23","Schwellenbach, Spencer",621438,680885,,"ball",,,,,14,"Tyrone Taylor doubles (22) on a sharp line drive to center fielder Michael Harris II.","R","R","R","ATL","NYM","B",,,1,2,2024,"0.53","-0.89","0.16","0.38",,,,0,8,"Top",,,,,,,4.9824374783911045,-122.62983742234545,-3.1918510825826267,4.450090257420949,22.58444967485038,-40.81709618863809,"3.33","1.63",,,,"85.5",2453,"7",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.54",,,,,,,,56,4,"Curveball",3,0,0,3,0,3,0,3,"Standard","Standard",47,"0","0.036",,,,"-0.036",,3,-3,"0.935","0.065",24,30,24,30,3,2,6,1,,0,"4.08","-0.53","-0.53","33.4"
"SL","2024-09-30","88.5","-2.24","5.41","Schwellenbach, Spencer",621438,680885,,"swinging_strike",,,,,13,"Tyrone Taylor doubles (22) on a sharp line drive to center fielder Michael Harris II.","R","R","R","ATL","NYM","S",,,1,1,2024,"0.34","-0.23","0","0.94",,,,0,8,"Top",,,,,,,4.8125135636909295,-128.75313385120384,-4.414310699788901,2.812515694868936,26.945143341778422,-33.99005583859707,"3.38","1.63",,,,"89.8",2485,"7.1",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.39",,,,,,,,56,3,"Slider",3,0,0,3,0,3,0,3,"Standard","Standard",90,"0","-0.051","46.9","7.5",,"0.051",,3,-3,"0.935","0.065",24,30,24,30,3,2,6,1,,0,"3.14","-0.34","-0.34","31.6"
"FC","2024-09-30","93.2","-2.3","5.5","Schwellenbach, Spencer",621438,680885,,"called_strike",,,,,5,"Tyrone Taylor doubles (22) on a sharp line drive to center fielder Michael Harris II.","R","R","R","ATL","NYM","S",,,1,0,2024,"0.17","1.14","0.19","2.36",,,,0,8,"Top",,,,,,,6.105627954547703,-135.6542520809998,-4.92843569266222,0.955455496398066,26.27083534667828,-17.233220933915426,"3.38","1.67",,,,"94.7",2420,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.58",,,,,,,,56,2,"Cutter",3,0,0,3,0,3,0,3,"Standard","Standard",205,"0","-0.044",,,,"0.044",,3,-3,"0.935","0.065",24,30,24,30,3,2,6,1,,0,"1.46","-0.17","-0.17","30.9"
